type	weight	node_a	node_b	shared
entity	3	zshexpn:FILENAME GENERATION	zshexpn:FILENAME GENERATION › Glob Qualifiers	NULL_GLOB EXTENDED_GLOB GLOB_DOTS
entity	3	zshexpn:FILENAME GENERATION › Glob Operators	zshexpn:FILENAME GENERATION › Globbing Flags	EXTENDED_GLOB KSH_GLOB
entity	3	zshexpn:FILENAME GENERATION › Glob Operators	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	KSH_GLOB EXTENDED_GLOB
entity	3	zshexpn:FILENAME GENERATION › Glob Operators	zshbuiltins:SHELL BUILTIN COMMANDS › enable [ -afmprs ] name ...	EXTENDED_GLOB KSH_GLOB
entity	3	zshexpn:FILENAME GENERATION › Globbing Flags	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	EXTENDED_GLOB KSH_GLOB
entity	3	zshexpn:FILENAME GENERATION › Globbing Flags	zshbuiltins:SHELL BUILTIN COMMANDS › enable [ -afmprs ] name ...	EXTENDED_GLOB KSH_GLOB
entity	3	zshparam:PARAMETERS SET BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › trap [ arg ] [ sig ... ]	LINENO EXIT
entity	3	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	CDPATH HOME AUTO_PUSHD
entity	3	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	EXPANSION SEQUENCES PROMPT
entity	3	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:SINGLE LETTER OPTIONS › Default set	CORRECT_ALL SINGLE_LINE_ZLE AUTO_PUSHD
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	KSH_GLOB EXTENDED_GLOB
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	MULTIBYTE GLOB_ASSIGN KSH_TYPESET
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	zshoptions:OPTION ALIASES	HASH_CMDS MAIL_WARNING
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Prompting	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	SEQUENCES EXPANSION PROMPT
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Prompting	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	SEQUENCES EXPANSION PROMPT
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Prompting	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	SEQUENCES EXPANSION PROMPT
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	SEQUENCES EXPANSION PROMPT
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	SEQUENCES EXPANSION PROMPT
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	MULTIBYTE KSH_TYPESET POSIX_BUILTINS
entity	3	zshoptions:DESCRIPTION OF OPTIONS › Shell State	zshbuiltins:SHELL BUILTIN COMMANDS › emulate [ -lLR ] [ {zsh|sh|ksh|csh} [ flags ... ] ]	LOCAL_OPTIONS RESTRICTED
