type	weight	section_a	section_b	shared_pointers
entity	5	zshmisc:REDIRECTIONS WITH NO COMMAND	zshoptions:DESCRIPTION OF OPTIONS	NULLCMD READNULLCMD CSH_NULLCMD
entity	5	zshmisc:CONDITIONAL EXPRESSIONS	zshbuiltins:SHELL BUILTIN COMMANDS	KSH_ARRAYS POSIX_BUILTINS EXTENDED_GLOB POSIX
entity	5	zshmisc:SIMPLE PROMPT ESCAPES	zshoptions:DESCRIPTION OF OPTIONS	POSIX HOME USERNAME XTRACE
entity	5	zshexpn:FILENAME EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	NOMATCH HOME EQUALS MAGIC_EQUAL_SUBST PUSHD_MINUS
entity	5	zshoptions:OPTION ALIASES	zshoptions:SINGLE LETTER OPTIONS	CHASE_LINKS GLOB_DOTS SHIN_STDIN SINGLE_COMMAND MAIL_WARNING
entity	4	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:PARAMETER EXPANSION	KSH_ARRAYS ASCII EXTENDED_GLOB
entity	4	zshexpn:FILENAME GENERATION	zshoptions:SINGLE LETTER OPTIONS	MARK_DIRS LIST_TYPES GLOB_DOTS NULL_GLOB
entity	3	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS SET BY THE SHELL	TRY_BLOCK_ERROR EXIT
entity	3	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS USED BY THE SHELL	TIMEFMT REPLY PROMPT3
entity	3	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshoptions:DESCRIPTION OF OPTIONS	SHORT_LOOPS SHORT_REPEAT
entity	3	zshmisc:ERRORS	zshbuiltins:SHELL BUILTIN COMMANDS	POSIX_BUILTINS POSIX RESTRICTED
entity	3	zshmisc:JOBS	zshoptions:DESCRIPTION OF OPTIONS	CONT NOTIFY MONITOR
entity	3	zshmisc:SIGNALS	zshoptions:DESCRIPTION OF OPTIONS	MONITOR MULTIOS ERR_EXIT
entity	3	zshmisc:ARITHMETIC EVALUATION	zshoptions:DESCRIPTION OF OPTIONS	MULTIBYTE FORCE_FLOAT OCTAL_ZEROES
entity	3	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:PARAMETER EXPANSION	PROMPT_BANG PROMPT_PERCENT PROMPT_SUBST
entity	3	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshoptions:DESCRIPTION OF OPTIONS	PROMPT_BANG PROMPT_PERCENT PROMPT_SUBST
entity	3	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:PARAMETERS SET BY THE SHELL	USERNAME SHLVL POSIX
entity	3	zshmisc:SIMPLE PROMPT ESCAPES	zshbuiltins:SHELL BUILTIN COMMANDS	POSIX HOME
entity	3	zshexpn:BRACE EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	ASCII BRACE_CCL
entity	3	zshexpn:FILENAME EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS	HOME PATH PUSHD_MINUS
entity	3	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:SINGLE LETTER OPTIONS	AUTO_PUSHD SINGLE_LINE_ZLE CORRECT_ALL
entity	2	zshmisc:COMPLEX COMMANDS	zshbuiltins:SHELL BUILTIN COMMANDS	EXIT REPLY
entity	2	zshmisc:RESERVED WORDS	zshoptions:DESCRIPTION OF OPTIONS	IGNORE_CLOSE_BRACES IGNORE_BRACES
entity	2	zshmisc:ERRORS	zshmisc:CONDITIONAL EXPRESSIONS	POSIX_BUILTINS POSIX
entity	2	zshmisc:ALIASING	zshoptions:DESCRIPTION OF OPTIONS	POSIX_ALIASES ALIAS_FUNC_DEF
entity	2	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS	IGNORE_BRACES CLOBBER
entity	2	zshmisc:REDIRECTIONS WITH NO COMMAND	zshparam:PARAMETERS USED BY THE SHELL	NULLCMD READNULLCMD
entity	2	zshmisc:SPECIAL FUNCTIONS	zshparam:PARAMETERS SET BY THE SHELL	SIGINT POSIX
entity	2	zshmisc:JOBS	zshoptions:SINGLE LETTER OPTIONS	NOTIFY MONITOR
entity	2	zshmisc:JOBS	zshbuiltins:SHELL BUILTIN COMMANDS	CONT SIGHUP
entity	2	zshmisc:SIGNALS	zshoptions:SINGLE LETTER OPTIONS	MONITOR ERR_EXIT
entity	2	zshmisc:SIGNALS	zshbuiltins:SHELL BUILTIN COMMANDS	TRAPNAL ERR_EXIT
entity	2	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:PARAMETERS USED BY THE SHELL	RPS2 HOME
entity	2	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:PARAMETERS SET BY THE SHELL	SECONDS SHLVL
entity	2	zshexpn:FILENAME EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	HOME PATH
entity	2	zshparam:ARRAY PARAMETERS	zshparam:POSITIONAL PARAMETERS	KSH_ZERO_SUBSCRIPT KSH_ARRAYS
entity	2	zshparam:POSITIONAL PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS	KSH_ZERO_SUBSCRIPT KSH_ARRAYS
entity	2	zshparam:PARAMETERS SET BY THE SHELL	zshparam:PARAMETERS USED BY THE SHELL	STTY ZSH_VERSION
entity	2	zshoptions:OPTION ALIASES	zshbuiltins:SHELL BUILTIN COMMANDS	CHASE_LINKS SHIN_STDIN
vocab	0.512	zshexpn:PARAMETER EXPANSION	zshparam:ARRAY PARAMETERS	array subscript flag flags foo associative
