type	weight	section_a	section_b	shared_pointers
vocab	0.08	zshmisc:REDIRECTION	zshexpn:FILENAME EXPANSION	word then file exists it expanding
vocab	0.08	zshmisc:MULTIOS	zshmisc:SIMPLE PROMPT ESCAPES	date file output user current means
vocab	0.08	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:SIMPLE PROMPT ESCAPES	file function definition directory executed extension
vocab	0.08	zshmisc:ARITHMETIC EVALUATION	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	ternary truncated integer character least numeric
vocab	0.08	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:FILENAME GENERATION	character string available recognised start should
vocab	0.08	zshexpn:COMMAND SUBSTITUTION	zshparam:PARAMETERS USED BY THE SHELL	ifs undergoes output filename expansion parameter
vocab	0.079	zshmisc:ALIASING	zshexpn:FILENAME EXPANSION	word eligible defined quoting checked it
vocab	0.079	zshmisc:JOBS	zshexpn:HISTORY EXPANSION	you immediately like then refer previous
vocab	0.079	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:PARAMETERS SET BY THE SHELL	file id process effective if group
vocab	0.079	zshexpn:DESCRIPTION	zshexpn:FILENAME GENERATION	five filename performed globbing occurrences characters
vocab	0.078	zshmisc:COMPLEX COMMANDS	zshmisc:SIMPLE PROMPT ESCAPES	executed status zero function number code
vocab	0.078	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshmisc:SPECIAL FUNCTIONS	sublist list form function newline until
vocab	0.078	zshmisc:ERRORS	zshmisc:COMMENTS	interactive shells non all characters with
vocab	0.078	zshmisc:ALIASING	zshmisc:QUOTING	quote quotes quoted string single nothing
vocab	0.078	zshmisc:REDIRECTION	zshmisc:JOBS	job output standard input then associates
vocab	0.078	zshmisc:MULTIOS	zshparam:PARAMETERS SET BY THE SHELL	file user process you output parent
vocab	0.078	zshmisc:ANONYMOUS FUNCTIONS	zshexpn:HISTORY EXPANSION	immediately function definition treated name words
vocab	0.078	zshmisc:ANONYMOUS FUNCTIONS	zshparam:PARAMETERS SET BY THE SHELL	function local script name functions variable
vocab	0.078	zshmisc:SPECIAL FUNCTIONS	zshexpn:PROCESS SUBSTITUTION	file list function argument run passed
vocab	0.077	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:FILENAME EXPANSION	status zero value two separated it
vocab	0.076	zshmisc:PRECOMMAND MODIFIERS	zshmisc:REDIRECTION	word does effect environment it process
vocab	0.076	zshmisc:QUOTING	zshmisc:REDIRECTION	quotes quote newline character quoted double
vocab	0.076	zshmisc:REDIRECTION	zshparam:PARAMETERS SET BY THE SHELL	file output associated number it process
vocab	0.076	zshmisc:ANONYMOUS FUNCTIONS	zshexpn:PROCESS SUBSTITUTION	anonymous function particularly name scope list
vocab	0.076	zshmisc:ANONYMOUS FUNCTIONS	zshexpn:FILENAME GENERATION	files treated other name local that
vocab	0.076	zshmisc:SPECIAL FUNCTIONS	zshparam:DESCRIPTION	array value type name referred called
vocab	0.075	zshmisc:REDIRECTION	zshparam:ARRAY PARAMETERS	word quotes double evaluates then expansion
vocab	0.074	zshmisc:PRECOMMAND MODIFIERS	zshmisc:FUNCTIONS	executed environment function builtin reserved process
vocab	0.074	zshmisc:COMPLEX COMMANDS	zshmisc:COMMENTS	word shells newline ignored interactive causes
vocab	0.074	zshmisc:ERRORS	zshparam:PARAMETERS USED BY THE SHELL	variable interactive file memory cause variables
vocab	0.074	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshmisc:COMMAND EXECUTION	file error message forked external it
vocab	0.074	zshmisc:SPECIAL FUNCTIONS	zshparam:POSITIONAL PARAMETERS	functions function array values line changed
vocab	0.074	zshmisc:ARITHMETIC EVALUATION	zshparam:LOCAL PARAMETERS	point integers integer parameter scope assigning
vocab	0.074	zshexpn:PARAMETER EXPANSION	zshoptions:SPECIFYING OPTIONS	name options single string refers letter
vocab	0.073	zshmisc:COMPLEX COMMANDS	zshparam:DESCRIPTION	name value parameters arithmetic then parameter
vocab	0.073	zshmisc:CONDITIONAL EXPRESSIONS	zshmisc:SIMPLE PROMPT ESCAPES	file dev if current directory string
vocab	0.073	zshexpn:DESCRIPTION	zshexpn:ARITHMETIC EXPANSION	expansion arithmetic substitution before parameter is
vocab	0.073	zshexpn:HISTORY EXPANSION	zshparam:LOCAL PARAMETERS	path parameter directory restriction existent parameters
vocab	0.073	zshexpn:ARITHMETIC EXPANSION	zshparam:DESCRIPTION	arithmetic evaluation value expansion parameter section
vocab	0.072	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:REDIRECTIONS WITH NO COMMAND	simple assignments value more redirections operators
vocab	0.072	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshexpn:PROCESS SUBSTITUTION	list form name work above word
vocab	0.072	zshmisc:AUTOLOADING FUNCTIONS	zshexpn:PROCESS SUBSTITUTION	file function will named then second
vocab	0.072	zshmisc:ARITHMETIC EVALUATION	zshexpn:FILENAME EXPANSION	named name it prefix zero functions
vocab	0.071	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:PRECOMMAND MODIFIERS	executed simple command environment seen commands
vocab	0.071	zshmisc:ALIASING	zshparam:PARAMETERS SET BY THE SHELL	code executed defined it subshells module
vocab	0.071	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshparam:PARAMETERS USED BY THE SHELL	file new it this parameter character
vocab	0.071	zshmisc:FUNCTIONS	zshmisc:SIGNALS	functions exit section process see shell
vocab	0.071	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:ARRAY PARAMETERS	value characters character name braces that
vocab	0.071	zshexpn:COMMAND SUBSTITUTION	zshexpn:FILENAME EXPANSION	replaced unquoted eligible expansion word substitution
vocab	0.07	zshmisc:RESERVED WORDS	zshexpn:PARAMETER EXPANSION	words word quoted then neither first
vocab	0.07	zshmisc:MULTIOS	zshmisc:COMMAND EXECUTION	file program forked spawned external directory
vocab	0.07	zshmisc:SPECIAL FUNCTIONS	zshmisc:ARITHMETIC EVALUATION	functions status defined it point value
vocab	0.07	zshmisc:SPECIAL FUNCTIONS	zshmisc:EXPANSION OF PROMPT SEQUENCES	history prompt certain next argument type
vocab	0.07	zshexpn:PARAMETER EXPANSION	zshexpn:ARITHMETIC EXPANSION	substituted expansion substitution value arithmetic string
vocab	0.07	zshexpn:COMMAND SUBSTITUTION	zshexpn:BRACE EXPANSION	foo generation output filename expansion words
vocab	0.07	zshoptions:DESCRIPTION OF OPTIONS	zshoptions:OPTION ALIASES	ksh compatibility bash hash_cmds options aliases
vocab	0.069	zshmisc:PRECOMMAND MODIFIERS	zshmisc:AUTOLOADING FUNCTIONS	function executed searched flag taken builtin
vocab	0.069	zshmisc:COMMENTS	zshoptions:SINGLE LETTER OPTIONS	interactive interactive_comments default all option by
vocab	0.069	zshmisc:COMMENTS	zshbuiltins:SHELL BUILTIN COMMANDS	causes interactive all character word shells
vocab	0.069	zshexpn:DESCRIPTION	zshexpn:BRACE EXPANSION	expansion order brace filename expanded characters
vocab	0.068	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshmisc:CONDITIONAL EXPRESSIONS	true short test form pattern condition
vocab	0.068	zshmisc:COMMENTS	zshexpn:FILENAME GENERATION	character characters up word all beginning
vocab	0.068	zshmisc:ALIASING	zshmisc:MULTIOS	foo bar redirection it problem word
vocab	0.068	zshmisc:MULTIOS	zshexpn:BRACE EXPANSION	foo bar output order similar above
vocab	0.068	zshmisc:COMMAND EXECUTION	zshparam:POSITIONAL PARAMETERS	values script parameters function etc section
vocab	0.068	zshexpn:FILENAME GENERATION	zshparam:POSITIONAL PARAMETERS	array access form all so number
vocab	0.067	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:COMMAND SUBSTITUTION	foo output preceded standard words just
vocab	0.067	zshmisc:ERRORS	zshparam:PARAMETERS SET BY THE SHELL	script module shell file read interactive
vocab	0.067	zshmisc:AUTOLOADING FUNCTIONS	zshexpn:HISTORY EXPANSION	definition extension file directory function first
vocab	0.066	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:SIMPLE PROMPT ESCAPES	status executed zero sequence value two
vocab	0.066	zshmisc:PRECOMMAND MODIFIERS	zshmisc:ALIASING	word replacement rather any builtin executed
vocab	0.066	zshmisc:COMPLEX COMMANDS	zshexpn:BRACE EXPANSION	list words expression expanded treated zero
vocab	0.066	zshmisc:QUOTING	zshexpn:BRACE EXPANSION	character characters resulting single quoted between
vocab	0.066	zshmisc:MULTIOS	zshmisc:ARITHMETIC EVALUATION	output point operator it consequences expression
vocab	0.066	zshmisc:COMMAND EXECUTION	zshexpn:HISTORY EXPANSION	path file directory name execute exists
vocab	0.066	zshmisc:ANONYMOUS FUNCTIONS	zshparam:DESCRIPTION	name variable variables point may difference
vocab	0.066	zshmisc:SPECIAL FUNCTIONS	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	prompt array status line text current
vocab	0.066	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:SPECIFYING OPTIONS	names being default name single ignored
vocab	0.065	zshmisc:SIMPLE COMMANDS & PIPELINES	zshparam:DESCRIPTION	value environment assignment associative sequence parameter
vocab	0.065	zshmisc:COMPLEX COMMANDS	zshparam:POSITIONAL PARAMETERS	positional parameters section function do values
vocab	0.065	zshmisc:ERRORS	zshmisc:MULTIOS	multio file pipe create behaviour needed
vocab	0.065	zshmisc:ERRORS	zshmisc:ARITHMETIC EVALUATION	logical declared mathematical expression integer float
vocab	0.065	zshmisc:ERRORS	zshexpn:PARAMETER EXPANSION	errors pattern subscripts options substitution matching
vocab	0.065	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshexpn:FILENAME GENERATION	file character least digit sets error
vocab	0.065	zshmisc:SPECIAL FUNCTIONS	zshparam:LOCAL PARAMETERS	function allowing called causes it programs
vocab	0.065	zshmisc:SIGNALS	zshparam:PARAMETERS USED BY THE SHELL	page signals explicitly usually certain run
vocab	0.065	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:COMMAND SUBSTITUTION	expansion replaced substitution arithmetic using single
vocab	0.065	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:DESCRIPTION	array string elements value integer may
vocab	0.065	zshexpn:FILENAME GENERATION	zshparam:LOCAL PARAMETERS	local path directory existing parameter still
vocab	0.064	zshmisc:PRECOMMAND MODIFIERS	zshmisc:ANONYMOUS FUNCTIONS	function name variable arguments executed immediately
vocab	0.064	zshmisc:PRECOMMAND MODIFIERS	zshexpn:FILENAME EXPANSION	path name replaced word function it
vocab	0.064	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshoptions:SPECIFYING OPTIONS	short name another these one many
vocab	0.064	zshmisc:ERRORS	zshparam:DESCRIPTION	variables type variable control assignment assign
vocab	0.064	zshmisc:QUOTING	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	string character quoted characters escape appear
vocab	0.064	zshmisc:COMMAND EXECUTION	zshexpn:PARAMETER EXPANSION	name element if file is parameters
vocab	0.064	zshmisc:ANONYMOUS FUNCTIONS	zshmisc:ARITHMETIC EVALUATION	point functions variable name outputs scope
vocab	0.064	zshmisc:JOBS	zshexpn:PARAMETER EXPANSION	then string effect you it output
vocab	0.064	zshmisc:ARITHMETIC EVALUATION	zshexpn:ARITHMETIC EXPANSION	arithmetic expression evaluation evaluated value form
vocab	0.064	zshmisc:ARITHMETIC EVALUATION	zshparam:POSITIONAL PARAMETERS	values assignment assigning parameters value form
vocab	0.064	zshexpn:FILENAME EXPANSION	zshparam:POSITIONAL PARAMETERS	positions array function assignment functions number
vocab	0.063	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:COMMAND EXECUTION	status fails execute executed executes returned
vocab	0.063	zshmisc:PRECOMMAND MODIFIERS	zshmisc:SIMPLE PROMPT ESCAPES	path executed current equivalent treat than
vocab	0.063	zshmisc:RESERVED WORDS	zshexpn:FILENAME EXPANSION	elif fi local then position typeset
vocab	0.063	zshmisc:ERRORS	zshmisc:CONDITIONAL EXPRESSIONS	file regular expression generation variables pattern
vocab	0.063	zshmisc:COMMENTS	zshexpn:DESCRIPTION	shells interactive characters all following parameter
vocab	0.063	zshmisc:QUOTING	zshmisc:ANONYMOUS FUNCTIONS	enclosed nothing arguments newline inside outputs
vocab	0.063	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshparam:PARAMETERS SET BY THE SHELL	file subshells param new parameter it
vocab	0.063	zshmisc:AUTOLOADING FUNCTIONS	zshparam:ARRAY PARAMETERS	element flag second elements ordinary which
vocab	0.063	zshexpn:HISTORY EXPANSION	zshoptions:SPECIFYING OPTIONS	refer trailing refers name so options
vocab	0.062	zshmisc:COMPLEX COMMANDS	zshmisc:SIGNALS	exit always cause section signals see
vocab	0.062	zshmisc:COMPLEX COMMANDS	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	true appear prompt if zero encountered
vocab	0.062	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	true least form test delimited if
vocab	0.062	zshmisc:ALIASING	zshexpn:BRACE EXPANSION	foo bar expanded expansion characters every
vocab	0.062	zshmisc:MULTIOS	zshmisc:SPECIAL FUNCTIONS	about file written exit it behaviour
vocab	0.062	zshmisc:ARITHMETIC EVALUATION	zshmisc:EXPANSION OF PROMPT SEQUENCES	integer arithmetic character type expansion number
vocab	0.062	zshexpn:DESCRIPTION	zshparam:DESCRIPTION	expansion referred performed parameter arithmetic filename
vocab	0.062	zshexpn:FILENAME GENERATION	zshoptions:SPECIFYING OPTIONS	letter string sets name names options
vocab	0.061	zshmisc:PRECOMMAND MODIFIERS	zshmisc:COMMAND EXECUTION	external name path function executed builtin
vocab	0.061	zshmisc:COMPLEX COMMANDS	zshmisc:MULTIOS	redirection exit about always encountered foo
vocab	0.061	zshmisc:REDIRECTION	zshmisc:SPECIAL FUNCTIONS	file list it then causes exist
vocab	0.061	zshmisc:MULTIOS	zshmisc:AUTOLOADING FUNCTIONS	file files thus contents directory without
vocab	0.061	zshmisc:FUNCTIONS	zshparam:PARAMETERS USED BY THE SHELL	functions environment files read commands trap
vocab	0.061	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:DESCRIPTION	numerically string scalar attributes value array
vocab	0.06	zshmisc:RESERVED WORDS	zshexpn:HISTORY EXPANSION	words word neither quoted then repeat
vocab	0.06	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:ARITHMETIC EVALUATION	functions func args initialization defined contain
vocab	0.06	zshmisc:ARITHMETIC EVALUATION	zshexpn:PROCESS SUBSTITUTION	output form operators named substitution example
vocab	0.06	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshparam:ARRAY PARAMETERS	expansion sequences character string appear zshexpn
vocab	0.06	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshparam:PARAMETERS SET BY THE SHELL	event history type available number current
vocab	0.06	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:BRACE EXPANSION	character negative characters left range width
vocab	0.06	zshexpn:PROCESS SUBSTITUTION	zshexpn:FILENAME EXPANSION	named name then file function argument
vocab	0.059	zshmisc:RESERVED WORDS	zshmisc:ANONYMOUS FUNCTIONS	local function fi words else do
vocab	0.059	zshmisc:REDIRECTION	zshexpn:BRACE EXPANSION	output word characters character order expansion
vocab	0.059	zshmisc:REDIRECTIONS WITH NO COMMAND	zshexpn:PARAMETER EXPANSION	value name given parameter inserted then
vocab	0.059	zshmisc:JOBS	zshexpn:FILENAME GENERATION	you string like they id then
vocab	0.059	zshexpn:HISTORY EXPANSION	zshparam:POSITIONAL PARAMETERS	section so parameters parameter number see
vocab	0.058	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:ALIASING	foo input word executed it simple
vocab	0.058	zshmisc:PRECOMMAND MODIFIERS	zshexpn:DESCRIPTION	performed shells done filename immediately process
vocab	0.058	zshmisc:PRECOMMAND MODIFIERS	zshexpn:PROCESS SUBSTITUTION	process external name run together command
vocab	0.058	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshparam:ARRAY PARAMETERS	form list pattern name limitations word
vocab	0.058	zshmisc:MULTIOS	zshparam:ARRAY PARAMETERS	foo thus that it redirection expression
vocab	0.058	zshmisc:JOBS	zshparam:ARRAY PARAMETERS	key effect when side it then
vocab	0.058	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:FILENAME EXPANSION	replaced expansion should then followed certain
vocab	0.058	zshexpn:PROCESS SUBSTITUTION	zshparam:ARRAY PARAMETERS	name list form reverse this an
vocab	0.057	zshmisc:ERRORS	zshmisc:COMMAND EXECUTION	file attempts script execution shell conditions
vocab	0.057	zshmisc:ANONYMOUS FUNCTIONS	zshparam:POSITIONAL PARAMETERS	function provide functions arguments script so
vocab	0.057	zshmisc:JOBS	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	prompt jobs string running current started
vocab	0.057	zshexpn:DESCRIPTION	zshparam:ARRAY PARAMETERS	expansion performed expansions filename under substitution
vocab	0.056	zshmisc:PRECOMMAND MODIFIERS	zshmisc:JOBS	process fork effect it immediately external
vocab	0.056	zshmisc:ALIASING	zshmisc:ARITHMETIC EVALUATION	defined operator it an arithmetic syntax
vocab	0.056	zshmisc:QUOTING	zshmisc:SIMPLE PROMPT ESCAPES	character characters outputs single between string
vocab	0.055	zshmisc:PRECOMMAND MODIFIERS	zshoptions:SPECIFYING OPTIONS	options name exec equivalent builtins done
vocab	0.055	zshmisc:COMPLEX COMMANDS	zshmisc:REDIRECTIONS WITH NO COMMAND	redirection emulating consists more error then
vocab	0.055	zshmisc:COMPLEX COMMANDS	zshparam:LOCAL PARAMETERS	parameters scope parameter function name while
vocab	0.055	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshmisc:ARITHMETIC EVALUATION	form short term arithmetic until list
vocab	0.055	zshmisc:ERRORS	zshparam:LOCAL PARAMETERS	local export declare older versions typeset
vocab	0.055	zshmisc:COMMENTS	zshmisc:ALIASING	word interactive characters non character parameter
vocab	0.055	zshmisc:REDIRECTION	zshexpn:DESCRIPTION	expansion substitution filename performed modified order
vocab	0.055	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshmisc:REDIRECTIONS WITH NO COMMAND	file redirections redirection shows parameter error
vocab	0.055	zshmisc:REDIRECTIONS WITH NO COMMAND	zshexpn:PROCESS SUBSTITUTION	file redirection former input cat when
vocab	0.055	zshmisc:FUNCTIONS	zshexpn:FILENAME GENERATION	files directory like execute read all
vocab	0.055	zshmisc:ARITHMETIC EVALUATION	zshexpn:COMMAND SUBSTITUTION	output arithmetic substitution double parameter replaced
vocab	0.055	zshexpn:HISTORY EXPANSION	zshexpn:ARITHMETIC EXPANSION	expansion substituted substitution section string expression
vocab	0.055	zshexpn:PROCESS SUBSTITUTION	zshparam:DESCRIPTION	name process processes security value assignment
vocab	0.055	zshparam:DESCRIPTION	zshoptions:SPECIFYING OPTIONS	name referred underscores single startup off
vocab	0.054	zshmisc:COMPLEX COMMANDS	zshexpn:COMMAND SUBSTITUTION	words parentheses word arithmetic foo generation
vocab	0.054	zshmisc:COMMAND EXECUTION	zshmisc:SIGNALS	invoked handler section functions shell values
vocab	0.054	zshexpn:FILENAME EXPANSION	zshoptions:SPECIFYING OPTIONS	name names implement setopt emulate so
vocab	0.053	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:FUNCTIONS	executed commands read execute environment function
vocab	0.053	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshmisc:AUTOLOADING FUNCTIONS	file executed using message perform it
vocab	0.053	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	true element directory text undefined fact
vocab	0.053	zshmisc:SIGNALS	zshparam:POSITIONAL PARAMETERS	section values functions see those itself
vocab	0.053	zshexpn:DESCRIPTION	zshexpn:FILENAME EXPANSION	expansion unquoted performed after modified parts
vocab	0.052	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:BRACE EXPANSION	foo two output sequence bar zero
vocab	0.052	zshmisc:COMPLEX COMMANDS	zshmisc:EXPANSION OF PROMPT SEQUENCES	conditional prompt appear optional then arithmetic
vocab	0.052	zshmisc:ERRORS	zshparam:ARRAY PARAMETERS	failure subscripts expression matching pattern assignment
vocab	0.052	zshmisc:ALIASING	zshmisc:SIMPLE PROMPT ESCAPES	defined code part characters space it
vocab	0.052	zshmisc:QUOTING	zshoptions:SPECIFYING OPTIONS	single ignored string preceding preceded one
vocab	0.052	zshmisc:AUTOLOADING FUNCTIONS	zshparam:LOCAL PARAMETERS	local function directory created parameters typeset
vocab	0.052	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:BRACE EXPANSION	character expansion expanded sequence between number
vocab	0.052	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:LOCAL PARAMETERS	path directory integer integers attribute function
vocab	0.052	zshexpn:COMMAND SUBSTITUTION	zshexpn:ARITHMETIC EXPANSION	arithmetic substitution expansion parameter form is
vocab	0.052	zshexpn:COMMAND SUBSTITUTION	zshbuiltins:SHELL BUILTIN COMMANDS	output foo parameter if quoted like
vocab	0.051	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:ERRORS	pipeline next modify control pipe logical
vocab	0.051	zshmisc:ERRORS	zshmisc:AUTOLOADING FUNCTIONS	autoload file functions create script local
vocab	0.051	zshmisc:COMMAND EXECUTION	zshmisc:ARITHMETIC EVALUATION	format name status remainder it an
vocab	0.05	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshmisc:SIMPLE PROMPT ESCAPES	file integer allowed braces current number
vocab	0.05	zshmisc:ANONYMOUS FUNCTIONS	zshparam:ARRAY PARAMETERS	name braces inside use this that
vocab	0.05	zshexpn:DESCRIPTION	zshparam:PARAMETERS SET BY THE SHELL	under types started performed history process
vocab	0.05	zshoptions:OPTION ALIASES	zshoptions:SINGLE LETTER OPTIONS	single_command shin_stdin ksh mail_warning glob_dots chase_links
